min,mean,max,ntime,time,height,name
8.821613862860606e-13,2.8279470982139553e-14,2.936228756214154e-12,0,20180921.0,65.0,hus
8.851169101823519e-13,3.7620965694681674e-09,3.3149324657197784e-12,1,20180921.00011574,65.0,hus
1.9155707480824915e-08,4.081836669663338e-09,4.97005421192162e-12,2,20180921.00023148,65.0,hus
3.275702065075102e-08,4.2188254682860916e-09,3.3154683325461046e-12,3,20180921.000347227,65.0,hus
4.262375767471214e-08,4.578517308269904e-09,3.3146729132511363e-12,4,20180921.000462964,65.0,hus
4.9285541628792015e-08,5.537038388864208e-09,3.3149408690013517e-12,5,20180921.000578705,65.0,hus
5.4813286729862795e-08,6.656556145412105e-09,3.3152088680777654e-12,6,20180921.000694446,65.0,hus
8.207039916756247e-14,3.204577270226618e-15,5.477025921053593e-14,0,20180921.0,65.0,pfull
1.985637916739131e-13,1.6814582569904965e-12,4.8886376629556766e-14,1,20180921.00011574,65.0,pfull
5.172993402194115e-10,6.43245646676934e-12,6.377533811724697e-12,2,20180921.00023148,65.0,pfull
6.052796245264309e-10,4.28613612729159e-12,4.48519873406808e-11,3,20180921.000347227,65.0,pfull
3.776908474847963e-10,5.089151269533253e-12,9.088833329646954e-11,4,20180921.000462964,65.0,pfull
2.741132703638694e-10,6.1519063843270435e-12,1.1352297087312796e-10,5,20180921.000578705,65.0,pfull
2.396106123222561e-10,6.876992935407336e-12,1.1012296959386063e-10,6,20180921.000694446,65.0,pfull
5.329624013555072e-15,0.0,1.5058688055674133e-14,0,20180921.0,-1.0,ps
1.705144932275973e-14,3.4307716885792636e-12,2.0795352797645314e-14,1,20180921.00011574,-1.0,ps
4.930654735545401e-10,2.455814558571256e-12,1.6492883201163235e-14,2,20180921.00023148,-1.0,ps
5.800900534245866e-10,1.051581588564183e-12,1.5775817764916133e-14,3,20180921.000347227,-1.0,ps
3.651477685003134e-10,1.3803008838018922e-12,1.505875083411235e-14,4,20180921.000462964,-1.0,ps
2.5887953384294336e-10,1.4489174962053657e-12,2.0078355372217383e-14,5,20180921.000578705,-1.0,ps
2.258219975037791e-10,1.8893373050087807e-12,2.0078376299186874e-14,6,20180921.000694446,-1.0,ps
1.8031264173518806e-13,3.2877644627654454e-15,1.275059409639115e-13,0,20180921.0,65.0,rho
1.7090654731920106e-13,1.576695923815199e-10,1.2869812386839377e-13,1,20180921.00011574,65.0,rho
4.317237699022824e-10,1.002135888624796e-09,1.2869866246931016e-13,2,20180921.00023148,65.0,rho
5.231306807253831e-10,1.059552619811018e-09,1.2869920107473462e-13,3,20180921.000347227,65.0,rho
5.004506366764931e-10,1.1546440744671746e-09,1.4740968779661563e-13,4,20180921.000462964,65.0,rho
7.030451280862783e-10,1.2608554096789672e-09,5.485906706417118e-13,5,20180921.000578705,65.0,rho
8.570765338332297e-10,1.3597141198035576e-09,1.354899870419918e-12,6,20180921.000694446,65.0,rho
2.3480241762213596e-13,3.0987831078810822e-15,1.0565738657137639e-13,0,20180921.0,65.0,ta
1.604706305090117e-08,1.6126178993176324e-09,1.0629781469852227e-13,1,20180921.00011574,65.0,ta
1.510370425782821e-08,1.241549372602099e-09,1.0565754626315757e-13,2,20180921.00023148,65.0,ta
1.8060591793710265e-08,1.358402431211899e-09,1.0757867385667203e-13,3,20180921.000347227,65.0,ta
2.079818914190108e-08,1.4717532569215597e-09,1.0693840542155396e-13,4,20180921.000462964,65.0,ta
2.1639612314833967e-08,1.568251597230284e-09,1.0629813601872619e-13,5,20180921.000578705,65.0,ta
2.184232505251653e-08,1.6504185233492843e-09,1.0629821634908454e-13,6,20180921.000694446,65.0,ta
0.0,0.0,0.0,0,20180921.0,65.0,ua
9.545967443372951e-13,7.952954588936051e-08,1.081974615759665e-12,1,20180921.00011574,65.0,ua
2.432548761012424e-15,2.791962754081148e-06,1.8141608356816721e-12,2,20180921.00023148,65.0,ua
2.574211036700186e-12,2.7438708557195993e-06,2.2243626180139124e-12,3,20180921.000347227,65.0,ua
6.269824989522531e-12,2.713930437557132e-06,2.5632370710351264e-12,4,20180921.000462964,65.0,ua
6.734430763545923e-11,2.652574208388651e-06,2.740816683349161e-12,5,20180921.000578705,65.0,ua
4.165942989289489e-10,2.5387266334885566e-06,2.9168755005546672e-12,6,20180921.000694446,65.0,ua
0.0,0.0,0.0,0,20180921.0,65.0,va
1.1160169066839905e-11,1.8836257169066023e-08,4.545614253642155e-12,1,20180921.00011574,65.0,va
1.5575909387246465e-06,8.46587194086795e-08,1.459718453859519e-10,2,20180921.00023148,65.0,va
1.5985643174351332e-06,8.310282747081619e-08,1.0367587357440175e-11,3,20180921.000347227,65.0,va
1.4549051484592715e-06,8.86474027928652e-08,1.4143896758305627e-12,4,20180921.000462964,65.0,va
1.3304578314005147e-06,9.285686039410662e-08,1.444956367186875e-12,5,20180921.000578705,65.0,va
1.2495912523284445e-06,1.0471778400943154e-07,1.2153111936715227e-12,6,20180921.000694446,65.0,va
1.565917093673476e-13,2.285909321648926e-14,1.715955745485873e-13,0,20180921.0,65.0,wap
4.93165864462825e-10,2.5120650515425724e-10,1.1547708197879655e-10,1,20180921.00011574,65.0,wap
6.745874079757646e-09,5.436052570066884e-07,2.545770807816142e-07,2,20180921.00023148,65.0,wap
1.0986554108507254e-07,5.075954761922542e-05,7.739154101602116e-07,3,20180921.000347227,65.0,wap
2.3431200383844085e-08,1.3705980938987907e-05,1.012894351392386e-06,4,20180921.000462964,65.0,wap
3.273445176315376e-08,4.991867515586738e-06,1.2453981223538014e-06,5,20180921.000578705,65.0,wap
3.3363800773325956e-08,3.288834629327445e-05,3.2972684602718676e-07,6,20180921.000694446,65.0,wap
