min,mean,max,ntime,time,height,name
8.836732309926352e-13,2.916320445033141e-14,2.9009304742320057e-12,0,20180921.0,65.0,hus
8.851169106006878e-13,3.7129178369929837e-09,3.314932465719778e-12,1,20180921.00011574,65.0,hus
2.071380789278388e-08,3.973733567341332e-09,4.9271781730822114e-12,2,20180921.00023148,65.0,hus
3.569597706916666e-08,4.049792355285332e-09,3.3154683325461034e-12,3,20180921.000347227,65.0,hus
4.634966395210366e-08,4.476676627458207e-09,3.3157363309326416e-12,4,20180921.000462964,65.0,hus
5.3370407278107494e-08,4.88463800788396e-09,3.316004372648769e-12,5,20180921.000578705,65.0,hus
5.911080606988828e-08,5.287313567196925e-09,3.3162724577049957e-12,6,20180921.000694446,65.0,hus
8.207039916756227e-14,3.349381107253429e-15,4.5469649155916434e-14,0,20180921.0,65.0,pfull
2.016825960856586e-13,7.061325885261167e-13,5.2589890097600586e-14,1,20180921.00011574,65.0,pfull
5.423674119287712e-10,2.134958981865394e-12,3.1387978421357573e-13,2,20180921.00023148,65.0,pfull
4.6185652472573635e-10,1.7780950019568688e-12,3.870972276013981e-12,3,20180921.000347227,65.0,pfull
2.1465600440293183e-10,2.5181375478613825e-12,1.3430390181164325e-11,4,20180921.000462964,65.0,pfull
2.9120946505618585e-10,3.416286325436276e-12,2.822699117954616e-11,5,20180921.000578705,65.0,pfull
4.3125370595361015e-10,4.390740112753733e-12,4.804485661455074e-11,6,20180921.000694446,65.0,pfull
1.065924802711016e-14,0.0,1.7927009590088254e-14,0,20180921.0,-1.0,ps
2.451145839880952e-14,1.3954464376706872e-12,2.0078271666692027e-14,1,20180921.00011574,-1.0,ps
5.192068530495727e-10,1.2159393719757766e-12,1.6492883201163235e-14,2,20180921.00023148,-1.0,ps
4.453940256092859e-10,1.0045077542761654e-12,2.0795396144662177e-14,3,20180921.000347227,-1.0,ps
2.1350042487240943e-10,1.2614194781328333e-12,1.8644167699377192e-14,4,20180921.000462964,-1.0,ps
2.611319300713059e-10,1.4042372210055627e-12,1.9361271251781035e-14,5,20180921.000578705,-1.0,ps
3.909874103165123e-10,1.7034354503288084e-12,2.0078376299186874e-14,6,20180921.000694446,-1.0,ps
1.850047922636136e-13,3.2629754135681217e-15,1.2780420658343525e-13,0,20180921.0,65.0,rho
1.7961943008914763e-13,1.0929498856227451e-10,1.2780428114318214e-13,1,20180921.00011574,65.0,rho
4.718459484759523e-10,4.0916755055301035e-10,1.2780435570301605e-13,2,20180921.00023148,65.0,rho
6.515317094364065e-10,4.287565195610017e-10,1.2780443026293698e-13,3,20180921.000347227,65.0,rho
8.099358632604708e-10,4.6269964311163717e-10,1.2671215862787696e-13,4,20180921.000462964,65.0,rho
9.576088605623052e-10,5.119362477290557e-10,1.2780457938303977e-13,5,20180921.000578705,65.0,rho
1.1605016219730262e-09,5.652565087500701e-10,1.2780465394322163e-13,6,20180921.000694446,65.0,rho
2.3480241762213596e-13,3.0987831078810822e-15,1.0565738657137641e-13,0,20180921.0,65.0,ta
1.6053592112954e-08,6.308368692483554e-10,1.043767698545731e-13,1,20180921.00011574,65.0,ta
1.509602167486641e-08,4.796657684782822e-10,1.0629789502838886e-13,2,20180921.00023148,65.0,ta
1.8149600030714184e-08,5.198839190173115e-10,1.0565762610923152e-13,3,20180921.000347227,65.0,ta
2.0925530913028802e-08,5.760619895081412e-10,1.0565770595542763e-13,4,20180921.000462964,65.0,ta
2.180689314015224e-08,6.327722568438253e-10,1.069384862357065e-13,5,20180921.000578705,65.0,ta
2.2039336037035322e-08,6.975468473224839e-10,1.0565786564818646e-13,6,20180921.000694446,65.0,ta
0.0,0.0,0.0,0,20180921.0,65.0,ua
1.2701228727968318e-12,6.926963380036427e-08,1.1033074745294892e-12,1,20180921.00011574,65.0,ua
2.4323950547055773e-15,1.8094617499081066e-06,1.5963425207101098e-12,2,20180921.00023148,65.0,ua
2.72549012510981e-12,1.7232070300660099e-06,1.9354952488562456e-12,3,20180921.000347227,65.0,ua
8.62099170823964e-12,1.6627529409082901e-06,2.3227250207128506e-12,4,20180921.000462964,65.0,ua
6.58157960635234e-11,1.70257613934851e-06,2.7868726132486507e-12,5,20180921.000578705,65.0,ua
3.8744821823137636e-10,1.7991733568502292e-06,3.1027935667755253e-12,6,20180921.000694446,65.0,ua
0.0,0.0,0.0,0,20180921.0,65.0,va
1.2095103018985788e-11,1.4212187875698481e-08,4.2144647114172086e-12,1,20180921.00011574,65.0,va
1.5473583936338457e-06,6.217656214784478e-08,4.135077153848912e-11,2,20180921.00023148,65.0,va
1.60780172292936e-06,5.7975944570357475e-08,6.0160770433112805e-12,3,20180921.000347227,65.0,va
1.4940182670585015e-06,5.8031771476232565e-08,1.1671099819042868e-12,4,20180921.000462964,65.0,va
1.3810495214318025e-06,6.446855720094263e-08,1.3308992956953815e-12,5,20180921.000578705,65.0,va
1.284423964710373e-06,7.330470432986681e-08,1.6611621747730373e-12,6,20180921.000694446,65.0,va
1.3536569981449897e-13,2.1716138555664732e-14,1.800810699932978e-13,0,20180921.0,65.0,wap
4.2632786462680637e-10,2.8257347381886307e-10,1.4601762995801086e-10,1,20180921.00011574,65.0,wap
6.427413236255293e-09,2.0515122795380326e-07,2.429873359341731e-07,2,20180921.00023148,65.0,wap
1.0904705807950157e-07,1.6885229799678152e-05,7.689443480817461e-07,3,20180921.000347227,65.0,wap
2.3427711158549037e-08,4.47631970255347e-06,9.800732396214234e-07,4,20180921.000462964,65.0,wap
